##############################################################################
# Ransomware Tracker CSV Feed                                                #
# Generated on 2016-06-30 15:22:58 UTC                                       #
#                                                                            #
# For questions please refer to:                                             #
# https://ransomwaretracker.abuse.ch/feeds/                                  #
##############################################################################
#
# Firstseen (UTC),Threat,Malware,Host,URL,Status,Registrar,IP address(es),ASN(s),Country
"2016-05-28 12:22:02","Distribution Site","Locky","www.studiopanella.it","http://www.studiopanella.it/78tg768b?qqoCctE=BqvelxCQjh","offline","TISCALIDOMAIN-REG","213.205.40.169","8612","IT"
"2016-05-28 12:22:01","Distribution Site","Locky","www.pececitos.com","http://www.pececitos.com/78tg768b?iLsPgwLIlw=fQrbaXbknS","offline","ARSYS INTERNET, S.L. D/B/A NICLINE.COM","217.76.130.80","8560","ES"
"2016-05-28 12:21:59","Distribution Site","Locky","www.johnlodgearchitects.com","http://www.johnlodgearchitects.com/78tg768b?HxGQMlJ=yavrqmagB","online","GODADDY.COM, LLC","207.154.33.12","33251","US"
"2016-05-28 12:21:57","Distribution Site","Locky","www.johnlodgearchitects.com","http://www.johnlodgearchitects.com/78tg768b?TxowegIQS=BcGXqYhajXh","online","GODADDY.COM, LLC","207.154.33.12","33251","US"
"2016-05-28 10:53:53","Payment Site","TorrentLocker","stgg5jv6mqiibmax.torshop.li","http://stgg5jv6mqiibmax.torshop.li/","offline","","","57494",""
"2016-05-28 10:32:16","Distribution Site","Locky","christian-view.com","http://christian-view.com/3fecdfv?PIXXYJMOu=gTRrEtyOovT ","offline","TUCOWS DOMAINS INC.","69.90.163.170","13768","CA"
"2016-05-28 10:32:12","Distribution Site","Locky","www.pececitos.com","http://www.pececitos.com/78tg768b?dstupydlJgn=JTNmGDNmEoO","offline","ARSYS INTERNET, S.L. D/B/A NICLINE.COM","217.76.130.80","8560","ES"
"2016-05-28 10:32:08","Distribution Site","Locky","www.noghrehpol.ir","http://www.noghrehpol.ir/98yh87nb6v4","offline","","51.255.99.133","16276","FR"
"2016-05-28 10:32:05","Distribution Site","Locky","mtldesigns.ca","http://mtldesigns.ca/98yh87nb6v4","offline","Go Daddy Domains Canada, Inc","23.229.153.132","26496","US"
"2016-05-28 10:32:00","Distribution Site","Locky","www.abbigliamentotorino.com","http://www.abbigliamentotorino.com/78tg768b?NFLxcCd=okpvPodt","offline","NETWORK SOLUTIONS, LLC.","46.20.80.8","51569","IT"
"2016-05-28 10:31:57","Distribution Site","Locky","calcoastlogistics.com","http://calcoastlogistics.com/3fecdfv?PIXXYJMOu=gTRrEtyOovT","offline","GODADDY.COM, LLC","23.229.205.70","26496","US"
"2016-05-28 10:31:53","Distribution Site","Locky","gatorusa.com","http://gatorusa.com/3fecdfv?PIXXYJMOu=gTRrEtyOovT","online","GODADDY.COM, LLC","207.45.179.146","22878","US"
"2016-05-28 00:31:45","C2","Locky","5.152.199.70","http://5.152.199.70/userinfo.php","offline","","5.152.199.70","35662","GB"
"2016-05-27 12:39:18","Distribution Site","Locky","gc-hubbelrath.server1.hostingforyou.de","http://gc-hubbelrath.server1.hostingforyou.de/uoanp8rs","offline","","82.197.153.12","31197","DE"
"2016-05-27 12:37:42","Distribution Site","Locky","98.131.20.17","http://98.131.20.17/u5963r","offline","","","32392",""
"2016-05-27 11:02:43","Distribution Site","Locky","egadget.ru","http://egadget.ru/98yh87nb6v4","offline","RU-CENTER-RU","5.9.120.167","24940|24940","DE"
"2016-05-27 11:02:39","Distribution Site","Locky","cobrebactericida.org","http://cobrebactericida.org/98yh87nb6v4","offline","Network Solutions, LLC","190.107.177.245","14259","CL"
"2016-05-27 11:01:52","Distribution Site","Locky","www.samrhamburg.com","http://www.samrhamburg.com/98yh87nb6v4","offline","MELBOURNE IT, LTD. D/B/A INTERNET NAMES WORLDWIDE","149.115.19.219","30447","US"
"2016-05-27 11:01:47","Distribution Site","Locky","wondervalley.in","http://wondervalley.in/98yh87nb6v4","offline","Rediff.com India Limited (R37-AFIN)","166.62.10.183","26496","US"
"2016-05-27 11:01:42","Distribution Site","Locky","bridgeplacements.com","http://bridgeplacements.com/98yh87nb6v4","offline","NETWORK SOLUTIONS, LLC.","212.1.211.149","47583","US"
"2016-05-27 11:01:37","Distribution Site","Locky","www.orchidealito.it","http://www.orchidealito.it/98yh87nb6v4 ","offline","AEMCOM-REG","81.88.224.155","25002","IT"
"2016-05-27 11:01:31","Distribution Site","Locky","birlesimsucuklari.com","http://birlesimsucuklari.com/98yh87nb6v4","offline","PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM","31.192.209.44","51559","TR"
"2016-05-27 11:01:28","Distribution Site","Locky","acnek.com","http://acnek.com/98yh87nb6v4","offline","GODADDY.COM, LLC","160.153.90.134","26496","US"
"2016-05-27 11:01:24","Distribution Site","Locky","iwebmediasavvy.com","http://iwebmediasavvy.com/98yh87nb6v4","online","GODADDY.COM, LLC","63.77.93.12","701","US"
"2016-05-27 11:01:19","Distribution Site","Locky","greenwfms.com","http://greenwfms.com/98yh87nb6v4","offline","FASTDOMAIN, INC.","66.147.240.167","46606","US"
"2016-05-27 11:01:13","Distribution Site","Locky","www.ding-a-ling-tel.com","http://www.ding-a-ling-tel.com/98yh87nb6v4","offline","NETWORK SOLUTIONS, LLC.","216.55.149.9","30447","US"
"2016-05-27 11:01:09","Distribution Site","Locky","projectodetalhe.pt","http://projectodetalhe.pt/98yh87nb6v4","offline","","185.31.159.113","9186|46606","PT"
"2016-05-27 10:28:53","Distribution Site","Locky","ecpi.ro","http://ecpi.ro/98yh87nb6v4","online","Romarg SRL","89.42.223.64","5588","RO"
"2016-05-27 07:05:59","Distribution Site","Locky","peptide-manufacturer.com","http://peptide-manufacturer.com/zwbv1","offline","HICHINA ZHICHENG TECHNOLOGY LTD.","192.163.252.46","46606","US"
"2016-05-27 05:41:19","Distribution Site","Locky","takibutaki.com","http://takibutaki.com/n9i2ar7","offline","AEROTEK BILISIM SANAYI VE TICARET AS","109.232.217.81","42807","TR"
"2016-05-26 18:25:30","C2","Locky","212.109.219.31","http://212.109.219.31/userinfo.php","offline","","212.109.219.31","29182","RU"
"2016-05-26 07:59:39","C2","Locky","104.131.182.103","http://104.131.182.103/userinfo.php","offline","","104.131.182.103","393406","US"
"2016-05-26 07:40:47","C2","Locky","164.132.40.47","http://164.132.40.47/userinfo.php","offline","","164.132.40.47","16276","IT"
"2016-05-26 06:21:54","Distribution Site","Locky","cdgame.kgb.pl","http://cdgame.kgb.pl/k7jhrt4hertg","offline","Consulting Service Sp. z o.o.","195.114.0.64","41079","PL"
"2016-05-26 06:21:52","Distribution Site","Locky","birlesimsucuklari.com","http://birlesimsucuklari.com/k7jhrt4hertg","offline","PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM","31.192.209.44","51559","TR"
"2016-05-26 06:21:47","Distribution Site","Locky","equalityindonesia.com","http://equalityindonesia.com/65g434f?DIzsPrRU=lJWUsACOo","offline","CV. JOGJACAMP","202.52.146.56","45324","ID"
"2016-05-26 06:21:37","Distribution Site","Locky","selonija.lv","http://selonija.lv/3g34t3t4tggrt?flGhlRMvQ=SAdbkxWTyJ","offline","","85.15.231.195","29600","LV"
"2016-05-26 06:21:29","Distribution Site","Locky","iwebmediasavvy.com","http://iwebmediasavvy.com/k7jhrt4hertg","online","GODADDY.COM, LLC","63.77.93.12","701","US"
"2016-05-26 06:21:22","Distribution Site","Locky","hate-metal.com","http://hate-metal.com/k7jhrt4hertg","offline","PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM","5.9.13.83","24940","DE"
"2016-05-26 06:21:13","Distribution Site","Locky","colleenthestylist.com","http://colleenthestylist.com/43454yt32?VpNJfuhNdHb=fHdhoAO","offline","GODADDY.COM, LLC","166.62.28.112","26496","US"
"2016-05-26 06:21:07","Distribution Site","Locky","www.broxlab.com","http://www.broxlab.com/3g34t3t4tggrt?iCiUcN=PUVLThwaEKC","offline","TLD REGISTRAR SOLUTIONS LTD","104.28.14.71|104.28.14.71|104.28.15.71","13335|13335|32475","US|US"
"2016-05-26 06:21:04","Distribution Site","Locky","apelecomp.com","http://apelecomp.com/3g34t3t4tggrt?qyRwdP=OwYXLtxeaz ","online","REALTIME REGISTER BV","188.68.56.129","197540","DE"
"2016-05-26 06:20:57","Distribution Site","Locky","humanoit.hu","http://humanoit.hu/65g434f?aNSyzgv=rewtEy","offline","","195.56.148.160","5588","HU"
"2016-05-26 06:20:54","Distribution Site","Locky","majaz.co.uk","http://majaz.co.uk/k7jhrt4hertg","offline","Easy Internet Solutions Ltd","81.27.85.11","25577","GB"
"2016-05-26 06:20:52","Distribution Site","Locky","bizconsulting.ro","http://bizconsulting.ro/3g34t3t4tggrt?EVFoHNMM=yIXUGgBggPR","online","ICI - ROTLD","86.35.15.215","9050","RO"
"2016-05-26 06:20:47","Distribution Site","Locky","edupei.com.mx","http://edupei.com.mx/3g34t3t4tggrt?vUHGndBlj=pOhgMAWsNxE","offline","Hospedando.Com.Mx","65.99.225.183","36024","US"
"2016-05-26 06:20:44","Distribution Site","Locky","cjglobal.co","http://cjglobal.co/3g34t3t4tggrt?oXbzBrtgXdd=HksMkxlfHR","offline","GODADDY.COM, INC.","192.186.192.134","26496","US"
"2016-05-26 06:20:36","Distribution Site","Locky","tspipp.tsu.tula.ru","http://tspipp.tsu.tula.ru/3g34t3t4tggrt?XwlNdBImei=oXcxheSjDSR","offline","","85.142.133.41","21143","RU"
"2016-05-26 06:20:27","Distribution Site","Locky","cjglobal.co","http://cjglobal.co/3g34t3t4tggrt?szIcWWTRS=lulpYS","offline","GODADDY.COM, INC.","192.186.192.134","26496","US"
"2016-05-25 18:30:42","C2","Locky","188.166.168.250","http://188.166.168.250/userinfo.php","offline","","188.166.168.250","202109","NL"
"2016-05-25 17:49:58","C2","Locky","138.201.93.46","http://138.201.93.46/userinfo.php","online","","138.201.93.46","24940","DE"
"2016-05-25 14:38:22","Payment Site","TorrentLocker","de2nuvwegoo32oqv.torworks.li","http://de2nuvwegoo32oqv.torworks.li/","offline","","","40824|8972",""
"2016-05-25 14:01:11","Distribution Site","Locky","selonija.lv","http://selonija.lv/3g34t3t4tggrt","offline","","85.15.231.195","29600","LV"
"2016-05-25 14:01:05","Distribution Site","Locky","smp.com.mx","http://smp.com.mx/3g34t3t4tggrt","offline","Hospedando.Com.Mx","67.227.172.216","32244","US"
"2016-05-25 14:00:57","Distribution Site","Locky","comecomunicare.eu","http://comecomunicare.eu/3g34t3t4tggrt","offline","Aruba S.p.A.","192.254.236.138","46606","US"
"2016-05-25 14:00:51","Distribution Site","Locky","orobos.nyc","http://orobos.nyc/3g34t3t4tggrt","offline","","181.224.137.76","32475","US"
"2016-05-25 14:00:47","Distribution Site","Locky","lifeclinics.net","http://lifeclinics.net/3g34t3t4tggrt","offline","GODADDY.COM, LLC","213.158.187.41","8452","EG"
"2016-05-25 14:00:43","Distribution Site","Locky","www.appoutpost.com","http://www.appoutpost.com/3g34t3t4tggrt","offline","GODADDY.COM, LLC","67.225.146.147","32244","US"
"2016-05-25 14:00:40","Distribution Site","Locky","bizconsulting.ro","http://bizconsulting.ro/3g34t3t4tggrt","online","ICI - ROTLD","86.35.15.215","9050","RO"
"2016-05-25 14:00:37","Distribution Site","Locky","tspipp.tsu.tula.ru","http://tspipp.tsu.tula.ru/3g34t3t4tggrt","offline","","85.142.133.41","21143","RU"
"2016-05-25 14:00:32","Distribution Site","Locky","cjglobal.co","http://cjglobal.co/3g34t3t4tggrt","offline","GODADDY.COM, INC.","192.186.192.134","26496","US"
"2016-05-25 14:00:28","Distribution Site","Locky","digitacaoveloz.com.br","http://digitacaoveloz.com.br/3g34t3t4tggrt","offline","","191.252.51.6","27715","BR"
"2016-05-25 14:00:22","Distribution Site","Locky","bankruptcymag.com","http://bankruptcymag.com/3g34t3t4tggrt","offline","MONIKER ONLINE SERVICES LLC","50.87.148.77","46606","US"
"2016-05-25 14:00:17","Distribution Site","Locky","globalcredithub.com","http://globalcredithub.com/3g34t3t4tggrt","offline","LAUNCHPAD.COM, INC.","107.180.27.233","26496|20013","US"
"2016-05-25 14:00:12","Distribution Site","Locky","crimeshurt.com","http://crimeshurt.com/3g34t3t4tggrt","offline","GODADDY.COM, LLC","192.186.240.68","26496","US"
"2016-05-25 14:00:07","Distribution Site","Locky","unijovem.com.br","http://unijovem.com.br/3g34t3t4tggrt","offline","","187.45.195.188","27715","BR"
"2016-05-25 14:00:01","Distribution Site","Locky","brunohenrique.net","http://brunohenrique.net/3g34t3t4tggrt","offline","ENOM, INC.","186.202.153.179","27715","BR"
"2016-05-25 12:01:38","Distribution Site","Locky","avayeparseh.com","http://avayeparseh.com/s0faxS.exe","offline","ONLINENIC, INC.","174.123.16.123","36351","US"
"2016-05-25 12:01:34","Distribution Site","Locky","osdc.eu","http://osdc.eu/n2UuEj.exe","offline","GANDI","195.230.19.2","25577","BG"
"2016-05-25 12:01:30","Distribution Site","Locky","alintagranito.com","http://alintagranito.com/xB7nku.exe","offline","GODADDY.COM, LLC","108.175.158.16","36351|46606","US"
"2016-05-25 12:01:27","Distribution Site","Locky","alborzcrane.com","http://alborzcrane.com/Z94n5r.exe","offline","REALTIME REGISTER BV","174.123.16.123","36351","US"
"2016-05-25 12:01:24","Distribution Site","Locky","wisebuy.com","http://wisebuy.com/WiOqzB.exe","offline","GODADDY.COM, LLC","97.74.85.102","26496","US"
"2016-05-25 12:01:19","Distribution Site","Locky","amazoo.com.br","http://amazoo.com.br/R0koId.exe","offline","","187.17.111.98","7162","BR"
"2016-05-25 12:01:11","Distribution Site","Locky","jett.com","http://jett.com/6APaSk.exe","offline","GODADDY.COM, LLC","97.74.85.102","26496","US"
"2016-05-25 12:01:05","Distribution Site","Locky","buzzimports.com.au","http://buzzimports.com.au/cRQVC4.exe","offline","Web Address Registration","184.164.156.210","20454","US"
"2016-05-25 12:00:57","Distribution Site","Locky","onestopcableshop.com","http://onestopcableshop.com/J7t6au.exe","offline","SAFENAMES LTD","212.84.161.195","20860","GB"
"2016-05-25 12:00:52","Distribution Site","Locky","buzzimports.com.au","http://buzzimports.com.au/ECScwi.exe","offline","Web Address Registration","184.164.156.210","20454","US"
"2016-05-25 12:00:47","Distribution Site","Locky","alintagranito.com","http://alintagranito.com/fOA8Bl.exe","offline","GODADDY.COM, LLC","108.175.158.16","36351|46606","US"
"2016-05-25 12:00:43","Distribution Site","Locky","osdc.eu","http://osdc.eu/gct5TH.exe","offline","GANDI","195.230.19.2","25577","BG"
"2016-05-25 12:00:40","Distribution Site","Locky","kitchen38.com","http://kitchen38.com/HYPETS.exe","offline","SAFENAMES LTD","212.84.161.201","20860","GB"
"2016-05-25 12:00:34","Distribution Site","Locky","alborzcrane.com","http://alborzcrane.com/g1slEn.exe","offline","REALTIME REGISTER BV","174.123.16.123","36351","US"
"2016-05-25 12:00:30","Distribution Site","Locky","kitchen38.com","http://kitchen38.com/V1ygc2.exe","offline","SAFENAMES LTD","212.84.161.201","20860","GB"
"2016-05-25 10:44:48","Distribution Site","Locky","rsxxx.com","http://rsxxx.com/sdfg4g3?QYmGBeTx=NmJmezqyn","offline","DNC HOLDINGS, INC.","69.50.139.6","22384","US"
"2016-05-25 10:44:43","Distribution Site","Locky","domyzbali-roztocze.pl","http://domyzbali-roztocze.pl/sdfg4g3?DLaIgW=orQJmqN","offline","Consulting Service Sp. z o.o.","188.116.19.98","43333","PL"
"2016-05-25 09:04:41","C2","DMALocker","5.8.63.54","http://5.8.63.54/crypto/gate","offline","","5.8.63.54","29182","RU"
"2016-05-25 08:48:22","Distribution Site","Locky","italianshoemanufacturers.com","http://italianshoemanufacturers.com/65g434f?PnbVBk=PgEWBaUaSNj","offline","GODADDY.COM, LLC","23.229.151.201","26496","US"
"2016-05-25 08:48:10","Distribution Site","Locky","baltela.lt","http://baltela.lt/43454yt32?vhhhymphK=FCefAU","offline","UAB "Interneto vizija"","79.98.28.25","62282","LT"
"2016-05-25 08:47:40","Distribution Site","Locky","ontheblocks.com","http://ontheblocks.com/IOvTGJ.exe","offline","ENOM, INC.","143.95.79.232","36024","US"
"2016-05-25 08:47:07","Distribution Site","Locky","wikisecru.402.com1.ru","http://wikisecru.402.com1.ru/65g434f?PRKbnLHlRaH=zmXfSCoESg","offline","AGAVA-RU","80.78.250.8","43146","RU"
"2016-05-25 08:47:03","Distribution Site","Locky","yespos.co.uk","http://yespos.co.uk/DXqMaJ.exe","offline","123-Reg Limited t/a 123-reg","78.109.168.56","34934","GB"
"2016-05-25 08:47:00","Distribution Site","Locky","angads.com.au","http://angads.com.au/hfv0Fy.exe","offline","NetRegistry","104.18.38.23|104.18.38.23|104.18.39.23","58927|13335|13335","US|US"
"2016-05-25 08:46:51","Distribution Site","Locky","jerseyoffers.co.uk","http://jerseyoffers.co.uk/6gYjfK.exe","offline","Fasthosts Internet Ltd","188.121.54.30","26496","NL"
"2016-05-25 02:57:57","C2","DMALocker","95.213.192.77","http://95.213.192.77/crypto/gate","offline","","95.213.192.77","49505","RU"
"2016-05-24 14:53:32","C2","Locky","31.41.44.45","http://31.41.44.45/userinfo.php","offline","","31.41.44.45","56577","RU"
"2016-05-24 10:47:16","Distribution Site","Locky","protei.me","http://protei.me/43454yt32?KkVyWQXgk=naFWXWH","offline","FastDomain Inc.","192.124.249.159","30148|54641","US"
"2016-05-24 10:47:04","Distribution Site","Locky","serwer1650017.home.pl","http://serwer1650017.home.pl/65g434f?bsuCGi=vKoBHR","offline","home.pl S.A.","79.96.220.252","12824","PL"
"2016-05-24 10:08:53","Distribution Site","Locky","follyfoot.org","http://follyfoot.org/erg54g4?DbNyoG=UORsBEp","offline","eNom, Inc.","188.65.117.69","198047","GB"
"2016-05-24 06:46:30","Distribution Site","Locky","aslfinance.eu","http://aslfinance.eu/zl49b2kd","offline","EXO TECHNOLOGIES spol. s r.o.","92.240.253.72","42005","SK"
"2016-05-24 06:08:54","Distribution Site","Locky","follyfoot.org","http://follyfoot.org/erg54g4?ezzCoPJdwi=cwziff","offline","eNom, Inc.","188.65.117.69","198047","GB"
"2016-05-24 06:03:56","Distribution Site","Locky","mandoka.com","http://mandoka.com/hv8vn","offline","KEY-SYSTEMS GMBH","176.9.172.190","24940|24940","DE"
"2016-05-24 06:03:32","Distribution Site","Locky","freeflyers.com.au","http://freeflyers.com.au/q8ijdw","offline","VentraIP Wholesale","110.232.141.30","45638","AU"
"2016-05-24 05:23:40","Distribution Site","Locky","shop.camacartigrafiche.com","http://shop.camacartigrafiche.com/dudyn50o","offline","ENOM, INC.","193.189.112.123","5602","IT"
"2016-05-23 17:22:48","Distribution Site","Locky","fina-mente.com","http://fina-mente.com/kitrl2","offline","UNITED-DOMAINS AG","162.248.55.82","27640","US"
"2016-05-23 17:02:14","C2","Locky","92.63.87.53","http://92.63.87.53/userinfo.php","offline","","92.63.87.53","0","LV"
"2016-05-22 06:33:50","Payment Site","TorrentLocker","stgg5jv6mqiibmax.torpice.li","http://stgg5jv6mqiibmax.torpice.li/","offline","","","16276|29182",""
"2016-05-21 16:39:10","C2","Locky","dtojlhpasjk.pw","http://dtojlhpasjk.pw/userinfo.php","offline","Namecheap","95.211.174.92","60781","NL"
"2016-05-21 15:19:15","C2","Locky","ytcijiooxdtlbevrh.info","http://ytcijiooxdtlbevrh.info/userinfo.php","offline","Dynadot, LLC","69.195.129.70","19969","US"
"2016-05-21 14:16:45","Distribution Site","Locky","serienplaner.com","http://serienplaner.com/vcb43g44","offline","KEY-SYSTEMS GMBH","78.46.104.205","24940","DE"
"2016-05-21 14:16:40","Distribution Site","Locky","climairuk.com","http://climairuk.com/437gfinw2?vMxSaQutxcN=bpehcgHynC","offline","LCN.COM LTD.","85.118.237.109","30933","GB"
"2016-05-21 14:16:36","Distribution Site","Locky","onlyher.nazwa.pl","http://onlyher.nazwa.pl/u32f9abf","offline","nazwa.pl sp. z o.o.","77.55.33.45","15967","PL"
"2016-05-21 14:16:34","Distribution Site","Locky","adestudio.w8w.pl","http://adestudio.w8w.pl/asfasfa","offline","Consulting Service Sp. z o.o.","193.203.99.112","47303","PL"
"2016-05-21 14:16:31","Distribution Site","Locky","cg.wandashops.com","http://cg.wandashops.com/b43g44gddrg","offline","GODADDY.COM, LLC","85.25.235.209","8972","DE"
"2016-05-21 14:16:28","Distribution Site","Locky","im-journal.com","http://im-journal.com/kjg7665df?WKCbyschC=irOLCwevRKq","offline","TUCOWS DOMAINS INC.","109.199.120.30","32475","US"
